,job_code,aircraft,transaction_code,malfunction_code,action_taken_code,description_of_problem,correction_of_problem,received_date,completion_date,corrosion,bare_metal,corrosion_prevention_treatment,routine_maintenance,unscheduled_maintenance,mission_related_maintenance,failure
283178,3DW2UV7P6D181043,36,11,020,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/30/17,7/2/17,,,,,Yes,,
283179,3MN3B2VP6G292599,36,11,525,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,10/19/14,10/25/14,,,,,Yes,,
283180,3MN21PNP6G055381,36,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,2/24/14,2/26/14,,,,,Yes,,
283181,3MN6M1YP6G183044,36,11,000,0,Perform Weapon Release Check,Jettisoned weapon or performed required check,7/1/16,7/1/16,,,,Yes,,Yes,
283182,3DW3C72P6D077293,36,11,000,0,Perform a periodic inspection,Completed the inspection,3/18/18,3/21/18,,,,Yes,,,
283183,3MN77H5P6G297559,36,11,000,0,Perform a periodic inspection,Completed the inspection,10/23/16,10/28/16,,,,Yes,,,
283184,3DW3PVCP6D242303,36,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,8/30/18,8/31/18,,,,,Yes,,
283185,3DW3LVLP6D193598,36,12,020,B,System or component worn or broken,Worked on and repaired component/system,7/12/18,7/31/18,,,,,Yes,,
283186,3DW2T9CP6D159345,36,12,020,B,System or component worn or broken,Removed and Replaced the system or component,6/8/17,6/9/17,,,,,Yes,,
283187,3MP9CZPP6G317618,36,11,525,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,11/13/14,11/13/14,,,,,Yes,,
283188,3DW42J8P6D036496,36,11,000,0,Perform a periodic inspection,Completed the inspection,2/5/19,2/8/19,,,,Yes,,,
283189,3DW3OTOP6D233405,36,11,020,C,System or component worn or broken,Worked on and repaired component/system,8/21/18,8/23/18,,,,,Yes,,
283190,3MN6B0HP6G126389,36,11,000,0,Perform a periodic inspection,Completed the inspection,5/5/16,5/5/16,,,,Yes,,,
283191,3MN3ABQP6G289228,36,11,000,0,Perform a periodic inspection,Completed the inspection,10/16/14,10/18/14,,,,Yes,,,
283192,3DW2S02P6D148477,36,11,622,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,5/28/17,5/28/17,,,,,Yes,,
283193,3MN2EBBP6G115331,36,47,,C,Perform a periodic inspection,Completed the inspection,4/25/14,4/28/14,,,,Yes,,,
283194,3DW2Q3IP6D113075,36,11,000,0,Perform a periodic inspection,Completed the inspection,4/23/17,4/30/17,,,,Yes,,,
283195,3DW2TAKP6D160315,36,11,070,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,6/9/17,6/10/17,,,,,Yes,,
283196,3DW376IP6D328554,36,11,000,0,Perform a periodic inspection,Completed the inspection,11/24/17,11/24/17,,,,Yes,,,
283197,3MN6LDGP6G181322,36,11,381,C,Perform system or component checks ,Completed the component or system test,6/29/16,6/29/16,,,,Yes,,,
283198,3MN5P56P6G017037,36,11,000,0,Perform a periodic inspection,Completed the inspection,1/17/16,1/17/16,,,,Yes,,,
283199,3MN4WZ3P6G221214,36,11,780,B,System or component failed ,Worked on system component; repair may or may not have been successful,8/9/15,8/10/15,,,,,,,Yes
283200,3MN3Y40P6G056287,36,11,029,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,2/25/15,2/25/15,,,,,Yes,,
283201,3DW3KN9P6D183557,36,11,000,0,Perform system or component checks ,Completed the component or system test,7/2/18,7/2/18,,,,Yes,,,
283202,3MN28V8P6G089506,36,11,000,0,Perform verification of component or system,Completed the component or system test,3/30/14,3/30/14,,,,Yes,,,
283203,3DW32EUP6D279426,36,11,000,0,Perform a periodic inspection,Completed the inspection,10/6/17,10/8/17,,,,Yes,,,
283204,3DW3KSIP6D185088,36,11,000,0,Perform a periodic inspection,Completed the inspection,7/4/18,7/8/18,,,,Yes,,,
283205,3DW3KSKP6D185088,36,11,000,0,Perform a periodic inspection,Completed the inspection,7/4/18,7/8/18,,,,Yes,,,
283206,3MN78KYP6G302040,36,12,020,B,System or component worn or broken,Removed and Replaced the system or component,10/28/16,11/1/16,,,,,Yes,,
283207,3MN238VP6G061450,36,11,000,0,Perform system or component checks ,Completed the component or system test,3/2/14,3/2/14,,,,Yes,,,
283208,3DW42YIP6D039107,36,11,020,C,System or component worn or broken,Worked on and repaired component/system,2/8/19,2/14/19,,,,,Yes,,
283209,3MN2B1HP6G100514,36,47,,C,Perform a periodic inspection,Completed the inspection,4/10/14,6/26/14,,,,Yes,,,
283210,3DW3N5AP6D212575,36,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,7/31/18,8/18/18,,,,,Yes,,
283211,3MN6RYOP6G218479,36,11,000,0,Perform a periodic inspection,Completed the inspection,8/5/16,8/8/16,,,,Yes,,,
283212,3DYBVFMP6D071616,36,11,000,0,Perform a periodic inspection,Completed the inspection,3/12/19,3/12/19,,,,Yes,,,
283213,3DW2PPGP6D103455,36,11,190,B,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,4/13/17,5/23/17,,,,,Yes,,
283214,3MN5U1DP6G045395,36,11,000,0,Perform a periodic inspection,Completed the inspection,2/14/16,2/22/16,,,,Yes,,,
283215,3DW44PPP6D085529,36,11,000,0,Perform a phase inspection,Completed the inspection,3/26/19,4/3/19,,,,Yes,,,
283216,3DW42RPP6D037024,36,11,C01,Z,Corrosion identified on plugs or switches,Treated and removed the corrosion,2/6/19,2/6/19,Yes,,,,,,
283217,3DW2XKZP6D208157,36,11,000,0,Perform a periodic inspection,Completed the inspection,7/27/17,7/29/17,,,,Yes,,,
283218,3DW3AO9P6D046703,36,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,2/15/18,2/25/18,,,,,Yes,,
283219,3DW3DQOP6D095167,36,11,956,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,4/5/18,4/10/18,,,,,Yes,,
283220,3DW3ZJSP6D336415,36,11,000,0,Perform a periodic inspection,Completed the inspection,12/2/18,12/3/18,,,,Yes,,,
283221,3MN268XP6G075087,36,11,000,0,Perform a periodic inspection,Completed the inspection,3/16/14,3/16/14,,,,Yes,,,
283222,3MN6EOYP6G144130,36,11,525,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,5/23/16,5/23/16,,,,,Yes,,
283223,3MN2FMXP6G121391,36,11,170,Z,Bare Metal located on fastners or panels,"Sanded, primed, and painted the bare area",5/1/14,5/2/14,,Yes,,,,,
283224,3MN2P6WP6G175322,36,11,000,0,Perform a periodic inspection,Completed the inspection,6/24/14,6/24/14,,,,Yes,,,
283225,3DW2YH6P6D218027,36,23,070,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,8/6/17,8/6/17,,,,,Yes,,
283226,3MN6J08P6G169322,36,11,374,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/17/16,6/20/16,,,,,Yes,,
283227,3MN2FRFP6G121443,36,12,020,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,5/1/14,5/7/14,,,,,Yes,,
283228,3MN2TQ7P6G201170,36,11,000,0,Perform a periodic inspection,Completed the inspection,7/20/14,7/20/14,,,,Yes,,,
283229,3DW2TBAP6D160509,36,11,000,0,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,6/9/17,6/9/17,,,,,Yes,,
283230,3MN7NJ6P6G017288,36,11,000,0,Perform a periodic inspection,Completed the inspection,1/17/17,1/18/17,,,,Yes,,,
283231,3DW322EP6D269240,36,11,167,C,Perform a periodic inspection,Completed the inspection,9/26/17,9/27/17,,,,Yes,,,
283232,3MN54RPP6G263020,36,23,295,R,Weapon part or assembly failure,Removed and Replaced failed part or assembly,9/20/15,9/20/15,,,,,Yes,Yes,Yes
283233,3MN5GCEP6G329093,36,11,425,C,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,11/25/15,11/30/15,,,,Yes,,,
283234,3DW2T7NP6D159504,36,23,602,R,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,6/8/17,6/12/17,,,,,Yes,,
283235,3DW3DJHP6D093025,36,11,799,A,Perform system or component checks ,Completed the component or system test,4/3/18,4/16/18,,,,Yes,,,
283236,3DW433PP6D041199,36,11,C01,Z,Bare Metal located on the landing gear assembly,"Sanded, primed, and painted the bare area",2/10/19,2/13/19,,Yes,,,,,
283237,3MN4ZCIP6G236474,36,11,696,C,"A system, component, part, or surface on the aircraft required attention",Observed the area and attempted to repair it,8/24/15,8/24/15,,,,,Yes,,
283238,3MN2P6UP6G175322,36,11,000,0,Perform a periodic inspection,Completed the inspection,6/24/14,6/25/14,,,,Yes,,,
283239,3DW2Y0CP6D214409,36,11,000,0,Perform a periodic inspection,Completed the inspection,8/2/17,8/4/17,,,,Yes,,,
283240,3DW2Y8JP6D216522,36,11,000,0,Perform a periodic inspection,Completed the inspection,8/4/17,8/4/17,,,,Yes,,,
283241,3MN4R1QP6G191433,36,11,306,A,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,7/10/15,7/10/15,,,,,Yes,,
283242,3DW3V6PP6D294198,36,11,000,0,Perform a periodic inspection,Completed the inspection,10/21/18,10/21/18,,,,Yes,,,
283243,3MN4MG6P6G169107,36,11,425,C,Chipped or worn paint identified on the aircraft,Repair chip and paint the area,6/18/15,6/22/15,,,,Yes,,,
283244,3DW44GAP6D083326,36,11,000,0,Perform a periodic inspection,Completed the inspection,3/24/19,3/26/19,,,,Yes,,,
283245,3MN6M9JP6G183152,36,11,000,0,Perform a periodic inspection,Completed the inspection,7/1/16,7/6/16,,,,Yes,,,
283246,3MN6MIMP6G188419,36,12,020,B,"A system, component, part, or surface on the aircraft required attention",Removed and replaced system or component,7/6/16,7/6/16,,,,,Yes,,
283247,3DW2Y8KP6D216522,36,11,000,0,Perform a periodic inspection,Completed the inspection,8/4/17,8/5/17,,,,Yes,,,
