,aircraft,squadron,lot,msp,zulu_time,flight_mode
880421,27, U,113,UXXUHP, 01-APR-2014 18:01:06:70, EngineTurn
880422,27, U,113,UXMQHP, 01-APR-2014 18:01:06:70, EngineTurn
880423,27, U,113,HPUXMQ, 01-APR-2014 18:01:06:70, EngineTurn
880424,27, U,113,HPUXHP, 01-APR-2014 18:01:06:70, EngineTurn
880425,27, U,113,UXMQHP, 01-APR-2014 18:01:52:30, EngineTurn
880426,27, U,113,UXXUHP, 01-APR-2014 18:01:52:30, EngineTurn
880427,27, U,113,HPUXHP, 01-APR-2014 18:01:52:30, EngineTurn
880428,27, U,113,HPUXMQ, 01-APR-2014 18:01:52:30, EngineTurn
880429,27, U,113,HPUXHP, 01-APR-2014 18:03:34:00, EngineTurn
880430,27, U,113,HPUXMQ, 01-APR-2014 18:03:34:00, EngineTurn
880431,27, U,113,JDMQZJ, 01-APR-2014 19:18:45:50, GrndPwr
880432,27, U,113,JDMQZJ, 01-APR-2014 19:25:16:70, GrndPwr
880433,27, U,113,HPUXZJ, 01-APR-2014 19:32:19:00, GrndPwr
880434,27, U,113,JDMQZJ, 01-APR-2014 19:52:10:50, GrndPwr
880435,27, U,113,JDMQZJ, 01-APR-2014 19:53:08:15, GrndPwr
880436,27, U,113,HPUXUX, 01-APR-2014 19:57:35:00, GrndPwr
880437,27, U,113,HPQGMZ, 01-AUG-2015 19:26:49:00, EngineTurn
880438,27, U,113,JDVBJD, 01-AUG-2015 19:27:46:00, EngineTurn
880439,27, U,113,HPQGMZ, 01-AUG-2015 19:28:03:00, EngineTurn
880440,27, U,113,JDVBJD, 01-AUG-2015 19:28:03:00, EngineTurn
880441,27, U,113,JDVBJD, 01-AUG-2015 20:00:56:00, InFlight
880442,27, U,113,HPQGMZ, 01-AUG-2015 20:00:56:00, InFlight
880443,27, U,113,MZUXJD, 01-AUG-2015 20:23:40:05, InFlight
880444,27, U,113,UXQGMZ, 01-AUG-2015 21:18:33:95, InFlight
880445,27, U,113,JDBMHP, 01-AUG-2015 21:38:19:05, InFlight
880446,27, U,113,UXQGMZ, 01-AUG-2015 21:50:39:15, EngineTurn
880447,27, U,113,MZUXJD, 01-AUG-2015 21:50:39:15, EngineTurn
880448,27, U,113,HPQGMZ, 01-AUG-2015 21:50:39:15, EngineTurn
880449,27, U,113,JDVBJD, 01-AUG-2015 21:50:39:15, EngineTurn
880450,27, U,113,JDBMHP, 01-AUG-2015 21:50:39:15, EngineTurn
880451,27, U,113,HPQGMZ, 01-AUG-2015 21:51:30:35, EngineTurn
880452,27, U,113,MZUXJD, 01-AUG-2015 21:51:30:35, EngineTurn
880453,27, U,113,UXQGMZ, 01-AUG-2015 21:51:30:35, EngineTurn
880454,27, U,113,JDVBJD, 01-AUG-2015 21:51:30:35, EngineTurn
880455,27, U,113,JDBMHP, 01-AUG-2015 21:51:30:35, EngineTurn
880456,27, U,113,UXQGMZ, 01-AUG-2015 21:52:15:30, EngineTurn
880457,27, U,113,HPQGMZ, 01-AUG-2015 21:52:15:30, EngineTurn
880458,27, U,113,MZUXJD, 01-AUG-2015 21:52:15:30, EngineTurn
880459,27, U,113,JDVBJD, 01-AUG-2015 21:52:15:30, EngineTurn
880460,27, U,113,JDBMHP, 01-AUG-2015 21:52:15:30, EngineTurn
880461,27, U,113,JDBMHP, 01-AUG-2015 21:54:05:00, EngineTurn
880462,27, U,113,JDVBJD, 01-AUG-2015 21:54:05:00, EngineTurn
880463,27, U,113,HPQGMZ, 01-AUG-2015 21:54:05:00, EngineTurn
880464,27, U,113,UXQGMZ, 01-AUG-2015 21:54:15:90, EngineTurn
880465,27, U,113,HPQGMZ, 01-AUG-2015 21:55:06:00, EngineTurn
880466,27, U,113,JDVBJD, 01-AUG-2015 21:55:06:00, EngineTurn
880467,27, U,113,UXQGMZ, 01-AUG-2015 21:55:16:70, EngineTurn
880468,27, U,113,JDVBJD, 01-AUG-2015 22:14:43:00, EngineTurn
880469,27, U,113,UXQGMZ, 01-AUG-2015 22:14:43:00, EngineTurn
880470,27, U,113,MQFVXU, 01-AUG-2015 22:14:43:00, EngineTurn
880471,27, U,113,HPQGMZ, 01-AUG-2015 22:14:43:00, EngineTurn
880472,27, U,113,ZJUXTL, 01-AUG-2015 22:20:44:00, EngineTurn
880473,27, U,113,FVJDQG, 01-AUG-2015 22:21:34:50, EngineTurn
880474,27, U,113,MZUXJD, 01-AUG-2015 22:40:28:00, EngineTurn
880475,27, U,113,MZUXJD, 01-AUG-2015 22:45:31:00, InFlight
880476,27, U,113,HPQGMZ, 01-AUG-2015 22:45:31:00, InFlight
880477,27, U,113,JDBMHP, 01-AUG-2015 22:51:08:00, InFlight
880478,27, U,113,UXQGMZ, 01-AUG-2015 23:54:06:95, InFlight
880479,27, U,113,JDQGMZ, 01-DEC-2012 02:11:01:50, GrndPwr
880480,27, U,113,HPUXUX, 01-DEC-2012 02:11:01:50, GrndPwr
880481,27, U,113,UXHPJD, 01-DEC-2012 02:13:29:00, GrndPwr
880482,27, U,113,UXHPNV, 01-DEC-2012 02:15:33:00, GrndPwr
880483,27, U,113,MZUXUX, 01-DEC-2012 02:16:11:00, GrndPwr
880484,27, U,113,UXHPNV, 01-DEC-2012 02:16:36:00, GrndPwr
880485,27, U,113,UXHPNV, 01-DEC-2012 03:09:53:65, GrndPwr
880486,27, U,113,HPQGMZ, 01-DEC-2012 04:23:06:95, EngineTurn
880487,27, U,113,MQFVNV, 01-DEC-2012 04:24:16:00, EngineTurn
880488,27, U,113,HPQGMZ, 01-DEC-2012 04:24:19:00, EngineTurn
880489,27, U,113,MQFVNV, 01-DEC-2012 04:24:19:00, EngineTurn
880490,27, U,113,HPUXUX, 01-DEC-2012 04:29:12:00, EngineTurn
880491,27, U,113,HPUXUX, 01-DEC-2012 04:29:28:00, EngineTurn
880492,27, U,113,HPQGMZ, 01-DEC-2012 04:29:28:00, EngineTurn
880493,27, U,113,HPQGMZ, 01-DEC-2012 05:03:42:00, InFlight
880494,27, U,113,HPUXUX, 01-DEC-2012 05:03:42:00, InFlight
